sequence,target
14 15 23 163 29 10 82 1 1 1 1 1 1 1 1,6
9 7 4 164 165 1 1 1 1 1 1 1 1 1 1,8
14 15 23 166 167 168 1 1 1 1 1 1 1 1 1,4
114 1 1 1 1 1 1 1 1 1 1 1 1 1 1,7
58 29 10 76 35 1 1 1 1 1 1 1 1 1 1,0
169 170 10 154 1 1 1 1 1 1 1 1 1 1 1,6
14 15 171 172 29 10 173 1 1 1 1 1 1 1 1,6
54 48 7 23 174 175 1 1 1 1 1 1 1 1 1,6
9 7 1 1 1 1 1 1 1 1 1 1 1 1 1,3
36 23 176 177 144 29 10 5 1 1 1 1 1 1 1,6
7 8 9 10 9 1 1 1 1 1 1 1 1 1 1,8
178 179 117 180 181 1 1 1 1 1 1 1 1 1 1,6
14 15 29 4 182 10 173 1 1 1 1 1 1 1 1,6
7 8 16 183 1 1 1 1 1 1 1 1 1 1 1,8
184 4 151 10 185 1 1 1 1 1 1 1 1 1 1,6
14 15 29 4 83 186 10 154 1 1 1 1 1 1 1,6
74 4 187 188 1 1 1 1 1 1 1 1 1 1 1,1
96 189 10 190 1 1 1 1 1 1 1 1 1 1 1,6
14 15 29 4 83 108 10 191 1 1 1 1 1 1 1,6
109 117 185 1 1 1 1 1 1 1 1 1 1 1 1,6
36 23 192 193 117 1 1 1 1 1 1 1 1 1 1,1
194 132 195 196 197 68 1 1 1 1 1 1 1 1 1,6
178 1 1 1 1 1 1 1 1 1 1 1 1 1 1,8
198 199 15 23 200 7 1 1 1 1 1 1 1 1 1,8
9 116 4 201 1 1 1 1 1 1 1 1 1 1 1,8
55 202 153 10 161 35 1 1 1 1 1 1 1 1 1,6
40 23 203 204 205 206 1 1 1 1 1 1 1 1 1,6
163 207 4 208 1 1 1 1 1 1 1 1 1 1 1,6
36 23 85 121 117 209 1 1 1 1 1 1 1 1 1,4
14 15 23 48 29 4 148 10 53 1 1 1 1 1 1,6
2 178 117 171 210 1 1 1 1 1 1 1 1 1 1,1
100 211 4 185 1 1 1 1 1 1 1 1 1 1 1,6
151 212 10 161 1 1 1 1 1 1 1 1 1 1 1,6
77 213 9 7 4 214 215 39 4 216 217 1 1 1 1,8
153 218 28 219 1 1 1 1 1 1 1 1 1 1 1,8
77 78 28 220 7 23 9 221 1 1 1 1 1 1 1,8
222 223 88 224 1 1 1 1 1 1 1 1 1 1 1,8
58 29 10 5 225 1 1 1 1 1 1 1 1 1 1,9
40 23 178 117 226 1 1 1 1 1 1 1 1 1 1,1
36 23 9 37 227 39 1 1 1 1 1 1 1 1 1,8
228 15 229 124 68 1 1 1 1 1 1 1 1 1 1,6
230 10 208 225 1 1 1 1 1 1 1 1 1 1 1,6
7 8 9 10 231 232 1 1 1 1 1 1 1 1 1,8
14 15 163 29 10 233 1 1 1 1 1 1 1 1 1,6
7 8 85 121 4 34 10 234 1 1 1 1 1 1 1,4
148 153 10 235 35 1 1 1 1 1 1 1 1 1 1,6
14 15 23 151 236 29 10 237 1 1 1 1 1 1 1,6
36 23 9 37 1 1 1 1 1 1 1 1 1 1 1,8
14 15 114 115 10 238 239 1 1 1 1 1 1 1 1,3
14 15 23 128 121 4 98 1 1 1 1 1 1 1 1,4
140 4 34 1 1 1 1 1 1 1 1 1 1 1 1,0
240 241 242 3 4 100 98 1 1 1 1 1 1 1 1,9
7 8 48 243 4 244 10 154 1 1 1 1 1 1 1,5
27 28 29 245 246 10 247 35 1 1 1 1 1 1 1,6
77 78 28 79 7 23 9 10 248 119 1 1 1 1 1,6
249 250 152 10 251 35 1 1 1 1 1 1 1 1 1,6
36 23 85 121 117 252 1 1 1 1 1 1 1 1 1,8
153 4 253 254 10 5 1 1 1 1 1 1 1 1 1,5
14 15 23 48 167 121 4 255 1 1 1 1 1 1 1,4
199 15 58 29 10 256 1 1 1 1 1 1 1 1 1,9
151 162 153 10 5 1 1 1 1 1 1 1 1 1 1,6
257 95 1 1 1 1 1 1 1 1 1 1 1 1 1,6
36 23 258 152 95 10 5 1 1 1 1 1 1 1 1,6
55 56 259 10 260 261 1 1 1 1 1 1 1 1 1,6
262 126 1 1 1 1 1 1 1 1 1 1 1 1 1,9
36 23 263 95 10 173 1 1 1 1 1 1 1 1 1,6
264 265 266 267 60 268 269 102 270 271 272 273 1 1 1,9
74 4 83 108 10 274 1 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 2 275 10 5 35 1 1 1 1,1
14 15 29 4 96 45 276 1 1 1 1 1 1 1 1,1
36 23 9 37 1 1 1 1 1 1 1 1 1 1 1,9
174 277 1 1 1 1 1 1 1 1 1 1 1 1 1,3
36 23 185 278 1 1 1 1 1 1 1 1 1 1 1,6
14 15 9 116 10 279 1 1 1 1 1 1 1 1 1,8
40 23 280 4 281 282 1 1 1 1 1 1 1 1 1,7
29 4 283 284 10 285 5 1 1 1 1 1 1 1 1,6
36 23 286 230 95 10 82 1 1 1 1 1 1 1 1,6
36 23 96 287 95 10 288 1 1 1 1 1 1 1 1,5
36 23 74 4 289 104 17 120 98 1 1 1 1 1 1,6
29 4 290 10 274 1 1 1 1 1 1 1 1 1 1,6
291 37 10 292 293 294 1 1 1 1 1 1 1 1 1,8
295 296 297 298 28 299 1 1 1 1 1 1 1 1 1,2
77 213 9 7 4 300 39 4 216 217 1 1 1 1 1,8
29 4 301 56 10 5 1 1 1 1 1 1 1 1 1,6
29 4 83 108 10 161 1 1 1 1 1 1 1 1 1,6
77 302 7 8 29 303 4 245 33 10 35 1 1 1 1,6
304 305 4 18 35 1 1 1 1 1 1 1 1 1 1,8
40 23 306 306 96 307 95 1 1 1 1 1 1 1 1,5
14 15 308 309 1 1 1 1 1 1 1 1 1 1 1,1
109 117 136 106 1 1 1 1 1 1 1 1 1 1 1,5
310 95 10 311 1 1 1 1 1 1 1 1 1 1 1,5
151 312 29 10 5 1 1 1 1 1 1 1 1 1 1,6
105 102 313 314 315 68 1 1 1 1 1 1 1 1 1,2
36 23 316 317 117 318 296 318 1 1 1 1 1 1 1,7
109 95 10 185 1 1 1 1 1 1 1 1 1 1 1,5
106 107 4 319 1 1 1 1 1 1 1 1 1 1 1,6
320 23 16 321 322 1 1 1 1 1 1 1 1 1 1,3
323 33 10 5 35 1 1 1 1 1 1 1 1 1 1,5
324 325 148 153 326 98 1 1 1 1 1 1 1 1 1,6
36 23 327 178 10 328 329 1 1 1 1 1 1 1 1,5
151 330 331 29 10 161 1 1 1 1 1 1 1 1 1,6
332 151 4 319 1 1 1 1 1 1 1 1 1 1 1,6
14 15 333 334 29 10 335 1 1 1 1 1 1 1 1,6
336 117 185 1 1 1 1 1 1 1 1 1 1 1 1,6
14 15 23 230 33 29 10 337 1 1 1 1 1 1 1,6
14 15 81 338 1 1 1 1 1 1 1 1 1 1 1,6
7 8 23 9 4 339 1 1 1 1 1 1 1 1 1,8
77 78 28 79 7 23 9 4 340 294 1 1 1 1 1,8
152 102 153 1 1 1 1 1 1 1 1 1 1 1 1,6
14 15 23 48 29 4 341 10 34 1 1 1 1 1 1,6
223 88 224 1 1 1 1 1 1 1 1 1 1 1 1,6
36 23 9 116 117 342 119 1 1 1 1 1 1 1 1,8
7 23 49 29 10 185 1 1 1 1 1 1 1 1 1,6
23 69 343 1 1 1 1 1 1 1 1 1 1 1 1,3
36 23 161 344 2 95 1 1 1 1 1 1 1 1 1,5
9 7 4 345 346 1 1 1 1 1 1 1 1 1 1,8
7 23 347 348 1 1 1 1 1 1 1 1 1 1 1,7
77 349 28 79 7 23 9 37 10 350 351 119 1 1 1,8
9 7 4 352 353 1 1 1 1 1 1 1 1 1 1,8
7 8 28 9 1 1 1 1 1 1 1 1 1 1 1,2
40 23 354 171 56 95 10 355 1 1 1 1 1 1 1,6
356 15 357 358 359 360 361 68 362 363 364 68 1 1 1,6
77 213 7 8 29 289 104 10 260 261 35 35 1 1 1,6
77 349 28 79 27 28 29 289 104 296 152 10 100 98 35 ,6
58 95 10 76 1 1 1 1 1 1 1 1 1 1 1,6
40 23 365 348 1 1 1 1 1 1 1 1 1 1 1,3
366 367 368 1 1 1 1 1 1 1 1 1 1 1 1,8
369 370 1 1 1 1 1 1 1 1 1 1 1 1 1,0
7 371 4 372 1 1 1 1 1 1 1 1 1 1 1,7
36 23 373 374 7 1 1 1 1 1 1 1 1 1 1,8
375 29 10 376 1 1 1 1 1 1 1 1 1 1 1,6
14 15 23 121 4 377 10 378 167 1 1 1 1 1 1,4
58 153 10 255 1 1 1 1 1 1 1 1 1 1 1,0
14 15 29 4 151 330 10 53 1 1 1 1 1 1 1,6
14 15 29 4 96 189 10 379 1 1 1 1 1 1 1,5
23 380 16 1 1 1 1 1 1 1 1 1 1 1 1,3
77 302 7 8 9 7 117 381 382 10 383 119 216 217 384 ,8
2 95 4 385 35 1 1 1 1 1 1 1 1 1 1,6
36 23 386 387 388 2 95 1 1 1 1 1 1 1 1,5
389 8 161 1 1 1 1 1 1 1 1 1 1 1 1,0
14 15 148 29 10 309 1 1 1 1 1 1 1 1 1,6
320 23 140 10 390 1 1 1 1 1 1 1 1 1 1,7
106 391 10 86 6 1 1 1 1 1 1 1 1 1 1,6
7 10 392 393 1 1 1 1 1 1 1 1 1 1 1,3
14 15 394 395 29 10 160 1 1 1 1 1 1 1 1,6
36 23 9 37 1 1 1 1 1 1 1 1 1 1 1,9
36 23 390 88 396 296 280 1 1 1 1 1 1 1 1,2
397 369 7 1 1 1 1 1 1 1 1 1 1 1 1,4
77 302 7 8 9 7 117 398 382 4 384 216 217 1 1,8
14 15 58 29 399 86 1 1 1 1 1 1 1 1 1,9
14 15 148 29 10 400 1 1 1 1 1 1 1 1 1,6
36 23 77 322 1 1 1 1 1 1 1 1 1 1 1,3
36 23 401 119 9 116 1 1 1 1 1 1 1 1 1,8
258 152 29 10 5 35 1 1 1 1 1 1 1 1 1,6
36 23 402 403 404 117 405 1 1 1 1 1 1 1 1,0
14 15 23 406 373 1 1 1 1 1 1 1 1 1 1,8
286 230 33 10 82 35 1 1 1 1 1 1 1 1 1,6
7 8 9 10 407 1 1 1 1 1 1 1 1 1 1,8
151 162 29 10 5 35 1 1 1 1 1 1 1 1 1,6
14 15 23 48 29 4 58 10 223 1 1 1 1 1 1,9
77 349 28 79 7 23 2 179 10 208 35 1 1 1 1,1
36 23 408 396 296 140 117 409 1 1 1 1 1 1 1,5
27 28 29 4 230 10 410 1 1 1 1 1 1 1 1,0
411 412 102 103 1 1 1 1 1 1 1 1 1 1 1,3
413 414 4 415 296 416 417 1 1 1 1 1 1 1 1,8
9 7 4 418 419 1 1 1 1 1 1 1 1 1 1,8
148 153 10 420 35 1 1 1 1 1 1 1 1 1 1,6
421 148 153 10 235 35 1 1 1 1 1 1 1 1 1,6
83 422 10 154 1 1 1 1 1 1 1 1 1 1 1,0
14 15 423 108 29 10 255 1 1 1 1 1 1 1 1,6
77 302 7 8 29 4 58 74 10 208 35 1 1 1 1,6
77 302 7 8 27 28 29 289 104 10 161 35 1 1 1,6
29 4 83 108 10 76 1 1 1 1 1 1 1 1 1,6
424 425 4 5 1 1 1 1 1 1 1 1 1 1 1,6
36 23 426 9 295 1 1 1 1 1 1 1 1 1 1,8
33 29 10 97 98 1 1 1 1 1 1 1 1 1 1,2
178 427 428 429 430 431 432 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 10 9 1 1 1 1 1 1 1,8
27 28 29 245 33 10 5 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 9 4 248 433 434 435 119 1 1,8
7 8 117 178 179 117 151 436 10 274 1 1 1 1 1,0
27 28 29 55 325 10 311 417 1 1 1 1 1 1 1,0
49 148 153 10 437 1 1 1 1 1 1 1 1 1 1,6
7 8 28 9 4 234 1 1 1 1 1 1 1 1 1,8
77 349 28 79 7 23 27 28 80 81 4 223 35 1 1,5
29 4 151 438 152 10 274 1 1 1 1 1 1 1 1,6
439 14 15 9 7 117 440 1 1 1 1 1 1 1 1,8
77 78 28 79 7 23 9 37 10 441 119 1 1 1 1,8
77 78 28 79 442 280 4 410 1 1 1 1 1 1 1,0
9 7 10 443 1 1 1 1 1 1 1 1 1 1 1,8
178 99 96 241 10 185 1 1 1 1 1 1 1 1 1,6
444 445 446 63 447 448 449 450 1 1 1 1 1 1 1,8
14 15 451 29 10 98 1 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 9 4 248 452 434 453 119 1 1,8
36 23 5 2 95 1 1 1 1 1 1 1 1 1 1,0
77 78 28 79 7 23 27 28 29 289 104 10 100 98 35 ,6
36 23 454 4 43 455 1 1 1 1 1 1 1 1 1,0
36 23 456 81 457 1 1 1 1 1 1 1 1 1 1,5
458 132 101 1 1 1 1 1 1 1 1 1 1 1 1,8
459 317 460 4 461 1 1 1 1 1 1 1 1 1 1,7
36 23 462 29 95 10 5 463 1 1 1 1 1 1 1,0
36 23 464 56 10 376 1 1 1 1 1 1 1 1 1,6
36 23 465 88 396 1 1 1 1 1 1 1 1 1 1,6
14 15 23 48 167 121 4 127 1 1 1 1 1 1 1,4
290 148 153 10 161 1 1 1 1 1 1 1 1 1 1,6
356 15 466 102 467 468 469 68 1 1 1 1 1 1 1,0
36 23 470 261 471 396 1 1 1 1 1 1 1 1 1,2
7 17 472 473 474 1 1 1 1 1 1 1 1 1 1,3
77 302 7 8 9 117 475 119 1 1 1 1 1 1 1,8
476 477 478 479 63 447 480 1 1 1 1 1 1 1 1,3
36 23 481 482 408 5 280 1 1 1 1 1 1 1 1,0
324 325 10 98 1 1 1 1 1 1 1 1 1 1 1,6
36 23 408 280 117 483 1 1 1 1 1 1 1 1 1,5
36 23 484 485 95 1 1 1 1 1 1 1 1 1 1,6
40 23 486 487 488 95 1 1 1 1 1 1 1 1 1,6
33 153 10 489 1 1 1 1 1 1 1 1 1 1 1,6
58 153 10 18 1 1 1 1 1 1 1 1 1 1 1,0
109 95 10 223 1 1 1 1 1 1 1 1 1 1 1,5
36 23 55 56 95 10 486 1 1 1 1 1 1 1 1,6
77 302 7 8 9 4 490 119 4 491 384 1 1 1 1,8
7 117 29 492 1 1 1 1 1 1 1 1 1 1 1,5
40 23 74 4 230 17 420 1 1 1 1 1 1 1 1,6
74 4 493 296 494 10 34 1 1 1 1 1 1 1 1,6
495 15 466 496 1 1 1 1 1 1 1 1 1 1 1,1
58 29 10 5 35 1 1 1 1 1 1 1 1 1 1,3
9 7 1 1 1 1 1 1 1 1 1 1 1 1 1,3
7 4 497 498 499 1 1 1 1 1 1 1 1 1 1,3
500 102 103 501 502 503 101 1 1 1 1 1 1 1 1,6
14 15 2 193 10 223 1 1 1 1 1 1 1 1 1,5
36 23 88 396 117 504 505 1 1 1 1 1 1 1 1,5
14 15 506 10 476 507 1 1 1 1 1 1 1 1 1,3
508 29 10 154 35 1 1 1 1 1 1 1 1 1 1,0
58 95 10 5 1 1 1 1 1 1 1 1 1 1 1,9
509 510 10 154 35 1 1 1 1 1 1 1 1 1 1,6
114 511 512 513 1 1 1 1 1 1 1 1 1 1 1,6
77 302 7 8 9 117 514 119 4 515 384 1 1 1 1,8
77 78 28 79 7 23 9 4 516 351 119 1 1 1 1,8
14 15 9 517 10 518 1 1 1 1 1 1 1 1 1,8
9 519 117 248 520 119 4 216 217 1 1 1 1 1 1,8
27 28 29 245 33 10 76 35 1 1 1 1 1 1 1,6
174 140 1 1 1 1 1 1 1 1 1 1 1 1 1,6
148 153 10 5 35 1 1 1 1 1 1 1 1 1 1,6
521 15 522 363 523 68 1 1 1 1 1 1 1 1 1,0
36 23 48 9 116 4 524 525 10 526 119 1 1 1 1,8
36 23 527 243 10 154 1 1 1 1 1 1 1 1 1,5
14 15 148 29 10 528 1 1 1 1 1 1 1 1 1,6
36 23 9 37 529 39 1 1 1 1 1 1 1 1 1,8
530 29 10 531 6 1 1 1 1 1 1 1 1 1 1,7
320 23 532 4 34 533 242 534 1 1 1 1 1 1 1,0
535 536 448 450 1 1 1 1 1 1 1 1 1 1 1,3
36 23 369 370 10 208 1 1 1 1 1 1 1 1 1,0
36 23 327 178 10 537 1 1 1 1 1 1 1 1 1,5
320 23 289 104 153 10 260 538 1 1 1 1 1 1 1,6
539 10 154 1 1 1 1 1 1 1 1 1 1 1 1,6
540 4 541 1 1 1 1 1 1 1 1 1 1 1 1,6
36 23 9 116 117 542 1 1 1 1 1 1 1 1 1,8
178 117 96 45 10 185 1 1 1 1 1 1 1 1 1,5
36 23 344 2 95 10 252 1 1 1 1 1 1 1 1,1
83 108 148 153 10 161 35 1 1 1 1 1 1 1 1,6
14 15 16 17 476 106 1 1 1 1 1 1 1 1 1,8
543 4 18 1 1 1 1 1 1 1 1 1 1 1 1,7
36 23 213 117 373 544 16 1 1 1 1 1 1 1 1,3
204 370 7 1 1 1 1 1 1 1 1 1 1 1 1,6
9 7 10 545 1 1 1 1 1 1 1 1 1 1 1,7
36 23 546 547 471 396 1 1 1 1 1 1 1 1 1,0
109 153 10 5 35 1 1 1 1 1 1 1 1 1 1,1
36 23 548 549 550 551 1 1 1 1 1 1 1 1 1,3
36 23 426 9 116 1 1 1 1 1 1 1 1 1 1,8
36 23 552 152 10 553 554 1 1 1 1 1 1 1 1,6
77 349 28 79 23 29 555 4 326 556 10 160 106 1 1,6
77 302 7 8 29 555 4 557 10 35 1 1 1 1 1,6
40 23 43 171 558 559 1 1 1 1 1 1 1 1 1,5
77 349 28 79 7 23 9 10 560 382 1 1 1 1 1,8
77 78 28 79 7 23 27 28 29 4 245 74 10 561 35 ,6
7 8 28 9 562 1 1 1 1 1 1 1 1 1 1,8
40 23 369 370 563 1 1 1 1 1 1 1 1 1 1,5
29 564 565 4 154 1 1 1 1 1 1 1 1 1 1,6
36 23 18 344 2 566 1 1 1 1 1 1 1 1 1,5
86 102 567 1 1 1 1 1 1 1 1 1 1 1 1,6
564 151 10 43 1 1 1 1 1 1 1 1 1 1 1,6
568 29 10 569 261 1 1 1 1 1 1 1 1 1 1,6
14 15 29 570 10 571 1 1 1 1 1 1 1 1 1,2
77 349 28 79 7 23 9 37 4 10 248 572 1 1 1,8
36 23 573 574 575 576 1 1 1 1 1 1 1 1 1,0
7 8 9 4 577 1 1 1 1 1 1 1 1 1 1,8
106 107 10 34 1 1 1 1 1 1 1 1 1 1 1,6
40 23 365 578 1 1 1 1 1 1 1 1 1 1 1,3
7 8 9 10 579 1 1 1 1 1 1 1 1 1 1,8
14 15 23 29 4 580 309 1 1 1 1 1 1 1 1,6
77 302 7 8 9 37 117 581 119 1 1 1 1 1 1,8
101 102 103 1 1 1 1 1 1 1 1 1 1 1 1,8
476 474 582 583 63 447 1 1 1 1 1 1 1 1 1,3
148 29 10 98 35 1 1 1 1 1 1 1 1 1 1,2
584 243 585 10 5 6 1 1 1 1 1 1 1 1 1,2
77 349 28 79 7 23 9 116 4 586 572 1 1 1 1,8
36 23 48 29 4 493 10 587 1 1 1 1 1 1 1,0
58 10 588 154 35 1 1 1 1 1 1 1 1 1 1,9
7 8 589 81 10 5 35 1 1 1 1 1 1 1 1,1
36 23 470 395 10 420 1 1 1 1 1 1 1 1 1,6
77 349 28 79 9 7 10 248 590 119 1 1 1 1 1,8
591 592 15 269 593 594 68 1 1 1 1 1 1 1 1,9
40 23 595 17 160 1 1 1 1 1 1 1 1 1 1,6
29 4 152 10 596 1 1 1 1 1 1 1 1 1 1,6
14 15 597 7 4 598 1 1 1 1 1 1 1 1 1,6
599 15 600 601 270 1 1 1 1 1 1 1 1 1 1,6
77 302 7 8 27 602 603 29 55 104 10 160 1 1 1,6
40 604 605 119 9 116 1 1 1 1 1 1 1 1 1,8
58 29 10 18 1 1 1 1 1 1 1 1 1 1 1,8
14 15 85 121 10 606 1 1 1 1 1 1 1 1 1,4
171 45 153 10 607 1 1 1 1 1 1 1 1 1 1,5
14 15 96 608 609 10 610 1 1 1 1 1 1 1 1,8
82 286 230 95 1 1 1 1 1 1 1 1 1 1 1,6
36 23 29 420 171 325 95 1 1 1 1 1 1 1 1,6
9 7 4 611 1 1 1 1 1 1 1 1 1 1 1,8
77 302 7 8 27 28 29 289 104 10 208 35 1 1 1,6
369 121 4 379 612 1 1 1 1 1 1 1 1 1 1,0
151 330 10 82 1 1 1 1 1 1 1 1 1 1 1,6
36 23 9 519 4 613 119 1 1 1 1 1 1 1 1,8
185 614 1 1 1 1 1 1 1 1 1 1 1 1 1,6
9 615 1 1 1 1 1 1 1 1 1 1 1 1 1,8
9 7 119 616 1 1 1 1 1 1 1 1 1 1 1,8
7 23 96 617 10 190 106 1 1 1 1 1 1 1 1,6
131 193 10 5 35 1 1 1 1 1 1 1 1 1 1,1
77 78 28 79 7 23 391 4 96 296 171 618 1 1 1,0
36 23 619 387 2 95 1 1 1 1 1 1 1 1 1,1
101 63 620 15 621 1 1 1 1 1 1 1 1 1 1,2
8 622 151 236 10 623 1 1 1 1 1 1 1 1 1,6
36 23 171 56 296 624 625 10 161 1 1 1 1 1 1,6
7 8 48 29 4 96 626 10 173 1 1 1 1 1 1,0
627 628 629 261 1 1 1 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 27 28 29 4 245 74 10 208 35 ,6
36 23 43 630 7 1 1 1 1 1 1 1 1 1 1,0
74 4 143 144 17 34 1 1 1 1 1 1 1 1 1,6
29 4 631 56 10 355 171 1 1 1 1 1 1 1 1,6
301 56 29 10 420 1 1 1 1 1 1 1 1 1 1,6
36 23 88 396 117 619 1 1 1 1 1 1 1 1 1,5
7 4 9 1 1 1 1 1 1 1 1 1 1 1 1,8
14 15 632 612 10 35 633 463 1 1 1 1 1 1 1,9
178 634 1 1 1 1 1 1 1 1 1 1 1 1 1,6
565 49 153 10 154 35 1 1 1 1 1 1 1 1 1,6
122 132 635 636 363 197 68 1 1 1 1 1 1 1 1,6
36 23 637 112 156 114 115 1 1 1 1 1 1 1 1,6
114 638 639 640 513 4 641 642 643 644 1 1 1 1 1,3
14 15 588 28 645 140 4 646 1 1 1 1 1 1 1,7
34 289 104 95 1 1 1 1 1 1 1 1 1 1 1,0
36 23 647 119 648 156 114 115 1 1 1 1 1 1 1,6
74 4 493 1 1 1 1 1 1 1 1 1 1 1 1,6
106 107 4 208 1 1 1 1 1 1 1 1 1 1 1,6
77 302 7 8 9 117 649 525 4 384 216 217 1 1 1,8
77 349 28 79 7 23 27 28 29 4 650 74 10 154 35 ,0
77 78 28 79 7 23 9 4 248 441 119 1 1 1 1,8
77 78 28 79 7 23 27 28 29 289 104 10 100 98 35 ,6
14 15 29 4 651 10 652 1 1 1 1 1 1 1 1,6
653 15 654 124 68 1 1 1 1 1 1 1 1 1 1,6
14 15 655 296 104 29 4 166 1 1 1 1 1 1 1,6
656 657 103 658 68 1 1 1 1 1 1 1 1 1 1,3
77 78 28 79 7 23 27 28 29 4 245 74 10 659 261 35 ,6
77 78 28 79 23 9 7 1 1 1 1 1 1 1 1,2
14 15 29 4 49 10 76 1 1 1 1 1 1 1 1,6
77 40 23 85 121 4 208 1 1 1 1 1 1 1 1,4
14 15 29 4 263 10 208 1 1 1 1 1 1 1 1,6
14 15 148 29 10 659 261 1 1 1 1 1 1 1 1,6
77 349 660 28 79 7 23 369 370 4 5 1 1 1 1,0
7 8 27 28 29 661 10 34 35 1 1 1 1 1 1,6
117 662 663 1 1 1 1 1 1 1 1 1 1 1 1,3
36 23 35 664 7 1 1 1 1 1 1 1 1 1 1,3
7 23 9 1 1 1 1 1 1 1 1 1 1 1 1,8
14 15 597 7 4 665 294 1 1 1 1 1 1 1 1,8
192 193 4 5 6 1 1 1 1 1 1 1 1 1 1,1
36 23 55 666 10 150 1 1 1 1 1 1 1 1 1,0
7 8 9 10 667 1 1 1 1 1 1 1 1 1 1,8
36 23 260 261 171 108 95 1 1 1 1 1 1 1 1,6
668 102 567 1 1 1 1 1 1 1 1 1 1 1 1,3
36 23 29 4 289 669 10 274 1 1 1 1 1 1 1,6
27 28 80 558 296 277 10 670 35 1 1 1 1 1 1,1
7 8 9 234 1 1 1 1 1 1 1 1 1 1 1,8
36 23 671 596 140 316 317 1 1 1 1 1 1 1 1,0
36 23 85 672 4 86 1 1 1 1 1 1 1 1 1,4
673 102 567 1 1 1 1 1 1 1 1 1 1 1 1,6
9 7 1 1 1 1 1 1 1 1 1 1 1 1 1,8
36 23 34 396 296 280 146 674 1 1 1 1 1 1 1,7
36 23 85 121 117 252 1 1 1 1 1 1 1 1 1,4
36 23 9 7 1 1 1 1 1 1 1 1 1 1 1,1
14 15 675 29 10 1 1 1 1 1 1 1 1 1 1,9
